PING 10.0.0.2 (10.0.0.2) 56(84) bytes of data.
64 bytes from 10.0.0.2: icmp_req=1 ttl=64 time=79.7 ms
64 bytes from 10.0.0.2: icmp_req=2 ttl=64 time=149 ms
64 bytes from 10.0.0.2: icmp_req=3 ttl=64 time=129 ms
64 bytes from 10.0.0.2: icmp_req=4 ttl=64 time=111 ms
64 bytes from 10.0.0.2: icmp_req=5 ttl=64 time=84.3 ms
64 bytes from 10.0.0.2: icmp_req=6 ttl=64 time=138 ms
64 bytes from 10.0.0.2: icmp_req=7 ttl=64 time=146 ms
64 bytes from 10.0.0.2: icmp_req=8 ttl=64 time=151 ms
64 bytes from 10.0.0.2: icmp_req=10 ttl=64 time=161 ms
64 bytes from 10.0.0.2: icmp_req=13 ttl=64 time=111 ms
64 bytes from 10.0.0.2: icmp_req=14 ttl=64 time=93.4 ms
64 bytes from 10.0.0.2: icmp_req=15 ttl=64 time=98.2 ms
64 bytes from 10.0.0.2: icmp_req=16 ttl=64 time=112 ms
64 bytes from 10.0.0.2: icmp_req=17 ttl=64 time=119 ms
64 bytes from 10.0.0.2: icmp_req=18 ttl=64 time=124 ms
64 bytes from 10.0.0.2: icmp_req=19 ttl=64 time=129 ms
64 bytes from 10.0.0.2: icmp_req=20 ttl=64 time=134 ms
64 bytes from 10.0.0.2: icmp_req=21 ttl=64 time=140 ms
64 bytes from 10.0.0.2: icmp_req=22 ttl=64 time=145 ms
64 bytes from 10.0.0.2: icmp_req=23 ttl=64 time=135 ms
64 bytes from 10.0.0.2: icmp_req=24 ttl=64 time=130 ms
64 bytes from 10.0.0.2: icmp_req=25 ttl=64 time=103 ms
64 bytes from 10.0.0.2: icmp_req=26 ttl=64 time=108 ms
64 bytes from 10.0.0.2: icmp_req=27 ttl=64 time=129 ms
64 bytes from 10.0.0.2: icmp_req=28 ttl=64 time=134 ms
64 bytes from 10.0.0.2: icmp_req=30 ttl=64 time=161 ms
64 bytes from 10.0.0.2: icmp_req=31 ttl=64 time=149 ms
64 bytes from 10.0.0.2: icmp_req=32 ttl=64 time=147 ms
64 bytes from 10.0.0.2: icmp_req=33 ttl=64 time=128 ms
