PING 10.0.0.2 (10.0.0.2) 56(84) bytes of data.
64 bytes from 10.0.0.2: icmp_req=34 ttl=64 time=76.6 ms
64 bytes from 10.0.0.2: icmp_req=35 ttl=64 time=86.8 ms
64 bytes from 10.0.0.2: icmp_req=36 ttl=64 time=108 ms
64 bytes from 10.0.0.2: icmp_req=37 ttl=64 time=122 ms
64 bytes from 10.0.0.2: icmp_req=38 ttl=64 time=135 ms
64 bytes from 10.0.0.2: icmp_req=39 ttl=64 time=149 ms
64 bytes from 10.0.0.2: icmp_req=40 ttl=64 time=138 ms
64 bytes from 10.0.0.2: icmp_req=43 ttl=64 time=160 ms
64 bytes from 10.0.0.2: icmp_req=44 ttl=64 time=142 ms
64 bytes from 10.0.0.2: icmp_req=45 ttl=64 time=106 ms
64 bytes from 10.0.0.2: icmp_req=46 ttl=64 time=65.9 ms
64 bytes from 10.0.0.2: icmp_req=47 ttl=64 time=107 ms
64 bytes from 10.0.0.2: icmp_req=48 ttl=64 time=122 ms
64 bytes from 10.0.0.2: icmp_req=49 ttl=64 time=128 ms
64 bytes from 10.0.0.2: icmp_req=50 ttl=64 time=148 ms
64 bytes from 10.0.0.2: icmp_req=51 ttl=64 time=113 ms
64 bytes from 10.0.0.2: icmp_req=52 ttl=64 time=103 ms
64 bytes from 10.0.0.2: icmp_req=53 ttl=64 time=108 ms
64 bytes from 10.0.0.2: icmp_req=54 ttl=64 time=122 ms
64 bytes from 10.0.0.2: icmp_req=55 ttl=64 time=119 ms
64 bytes from 10.0.0.2: icmp_req=56 ttl=64 time=124 ms
64 bytes from 10.0.0.2: icmp_req=57 ttl=64 time=137 ms
64 bytes from 10.0.0.2: icmp_req=58 ttl=64 time=142 ms
64 bytes from 10.0.0.2: icmp_req=59 ttl=64 time=139 ms
64 bytes from 10.0.0.2: icmp_req=60 ttl=64 time=153 ms
64 bytes from 10.0.0.2: icmp_req=62 ttl=64 time=155 ms
64 bytes from 10.0.0.2: icmp_req=63 ttl=64 time=154 ms
64 bytes from 10.0.0.2: icmp_req=64 ttl=64 time=151 ms
64 bytes from 10.0.0.2: icmp_req=65 ttl=64 time=100 ms
64 bytes from 10.0.0.2: icmp_req=66 ttl=64 time=89.8 ms
64 bytes from 10.0.0.2: icmp_req=67 ttl=64 time=102 ms
64 bytes from 10.0.0.2: icmp_req=68 ttl=64 time=105 ms
64 bytes from 10.0.0.2: icmp_req=69 ttl=64 time=105 ms
64 bytes from 10.0.0.2: icmp_req=70 ttl=64 time=113 ms
64 bytes from 10.0.0.2: icmp_req=71 ttl=64 time=129 ms
64 bytes from 10.0.0.2: icmp_req=72 ttl=64 time=134 ms
64 bytes from 10.0.0.2: icmp_req=73 ttl=64 time=140 ms
64 bytes from 10.0.0.2: icmp_req=74 ttl=64 time=145 ms
64 bytes from 10.0.0.2: icmp_req=75 ttl=64 time=150 ms
64 bytes from 10.0.0.2: icmp_req=77 ttl=64 time=160 ms
64 bytes from 10.0.0.2: icmp_req=79 ttl=64 time=155 ms
64 bytes from 10.0.0.2: icmp_req=80 ttl=64 time=105 ms
64 bytes from 10.0.0.2: icmp_req=81 ttl=64 time=93.8 ms
64 bytes from 10.0.0.2: icmp_req=82 ttl=64 time=99.8 ms
64 bytes from 10.0.0.2: icmp_req=83 ttl=64 time=105 ms
64 bytes from 10.0.0.2: icmp_req=84 ttl=64 time=113 ms
64 bytes from 10.0.0.2: icmp_req=85 ttl=64 time=126 ms
64 bytes from 10.0.0.2: icmp_req=86 ttl=64 time=123 ms
64 bytes from 10.0.0.2: icmp_req=87 ttl=64 time=137 ms
64 bytes from 10.0.0.2: icmp_req=88 ttl=64 time=142 ms
64 bytes from 10.0.0.2: icmp_req=89 ttl=64 time=140 ms
64 bytes from 10.0.0.2: icmp_req=90 ttl=64 time=153 ms
64 bytes from 10.0.0.2: icmp_req=92 ttl=64 time=155 ms
64 bytes from 10.0.0.2: icmp_req=94 ttl=64 time=150 ms
64 bytes from 10.0.0.2: icmp_req=95 ttl=64 time=84.0 ms
64 bytes from 10.0.0.2: icmp_req=96 ttl=64 time=89.8 ms
64 bytes from 10.0.0.2: icmp_req=97 ttl=64 time=102 ms
64 bytes from 10.0.0.2: icmp_req=98 ttl=64 time=105 ms
64 bytes from 10.0.0.2: icmp_req=99 ttl=64 time=113 ms
64 bytes from 10.0.0.2: icmp_req=100 ttl=64 time=126 ms
64 bytes from 10.0.0.2: icmp_req=101 ttl=64 time=132 ms
64 bytes from 10.0.0.2: icmp_req=104 ttl=64 time=115 ms
64 bytes from 10.0.0.2: icmp_req=105 ttl=64 time=97.7 ms
64 bytes from 10.0.0.2: icmp_req=106 ttl=64 time=103 ms
64 bytes from 10.0.0.2: icmp_req=107 ttl=64 time=113 ms
64 bytes from 10.0.0.2: icmp_req=108 ttl=64 time=144 ms
64 bytes from 10.0.0.2: icmp_req=109 ttl=64 time=149 ms
64 bytes from 10.0.0.2: icmp_req=110 ttl=64 time=146 ms
64 bytes from 10.0.0.2: icmp_req=112 ttl=64 time=131 ms
64 bytes from 10.0.0.2: icmp_req=113 ttl=64 time=112 ms
64 bytes from 10.0.0.2: icmp_req=114 ttl=64 time=117 ms
64 bytes from 10.0.0.2: icmp_req=115 ttl=64 time=130 ms
64 bytes from 10.0.0.2: icmp_req=116 ttl=64 time=151 ms
64 bytes from 10.0.0.2: icmp_req=117 ttl=64 time=141 ms
64 bytes from 10.0.0.2: icmp_req=118 ttl=64 time=141 ms
64 bytes from 10.0.0.2: icmp_req=119 ttl=64 time=146 ms
64 bytes from 10.0.0.2: icmp_req=120 ttl=64 time=135 ms
64 bytes from 10.0.0.2: icmp_req=121 ttl=64 time=135 ms
64 bytes from 10.0.0.2: icmp_req=122 ttl=64 time=148 ms
64 bytes from 10.0.0.2: icmp_req=123 ttl=64 time=145 ms
64 bytes from 10.0.0.2: icmp_req=124 ttl=64 time=134 ms
64 bytes from 10.0.0.2: icmp_req=125 ttl=64 time=115 ms
64 bytes from 10.0.0.2: icmp_req=126 ttl=64 time=112 ms
64 bytes from 10.0.0.2: icmp_req=127 ttl=64 time=133 ms
64 bytes from 10.0.0.2: icmp_req=128 ttl=64 time=122 ms
64 bytes from 10.0.0.2: icmp_req=129 ttl=64 time=124 ms
64 bytes from 10.0.0.2: icmp_req=130 ttl=64 time=89.6 ms
64 bytes from 10.0.0.2: icmp_req=131 ttl=64 time=94.7 ms
64 bytes from 10.0.0.2: icmp_req=132 ttl=64 time=100 ms
64 bytes from 10.0.0.2: icmp_req=133 ttl=64 time=105 ms
64 bytes from 10.0.0.2: icmp_req=134 ttl=64 time=113 ms
64 bytes from 10.0.0.2: icmp_req=135 ttl=64 time=127 ms
64 bytes from 10.0.0.2: icmp_req=136 ttl=64 time=124 ms
64 bytes from 10.0.0.2: icmp_req=137 ttl=64 time=130 ms
64 bytes from 10.0.0.2: icmp_req=138 ttl=64 time=143 ms
64 bytes from 10.0.0.2: icmp_req=139 ttl=64 time=148 ms
64 bytes from 10.0.0.2: icmp_req=140 ttl=64 time=153 ms
64 bytes from 10.0.0.2: icmp_req=142 ttl=64 time=154 ms
64 bytes from 10.0.0.2: icmp_req=144 ttl=64 time=151 ms
64 bytes from 10.0.0.2: icmp_req=145 ttl=64 time=84.4 ms
64 bytes from 10.0.0.2: icmp_req=146 ttl=64 time=89.7 ms
64 bytes from 10.0.0.2: icmp_req=147 ttl=64 time=102 ms
64 bytes from 10.0.0.2: icmp_req=148 ttl=64 time=105 ms
64 bytes from 10.0.0.2: icmp_req=149 ttl=64 time=113 ms
64 bytes from 10.0.0.2: icmp_req=150 ttl=64 time=126 ms
64 bytes from 10.0.0.2: icmp_req=151 ttl=64 time=131 ms
64 bytes from 10.0.0.2: icmp_req=152 ttl=64 time=137 ms
64 bytes from 10.0.0.2: icmp_req=153 ttl=64 time=142 ms
64 bytes from 10.0.0.2: icmp_req=154 ttl=64 time=147 ms
64 bytes from 10.0.0.2: icmp_req=155 ttl=64 time=144 ms
64 bytes from 10.0.0.2: icmp_req=156 ttl=64 time=141 ms
64 bytes from 10.0.0.2: icmp_req=157 ttl=64 time=146 ms
64 bytes from 10.0.0.2: icmp_req=158 ttl=64 time=151 ms
64 bytes from 10.0.0.2: icmp_req=159 ttl=64 time=133 ms
64 bytes from 10.0.0.2: icmp_req=160 ttl=64 time=81.6 ms
64 bytes from 10.0.0.2: icmp_req=161 ttl=64 time=86.8 ms
64 bytes from 10.0.0.2: icmp_req=162 ttl=64 time=92.2 ms
64 bytes from 10.0.0.2: icmp_req=163 ttl=64 time=97.6 ms
64 bytes from 10.0.0.2: icmp_req=164 ttl=64 time=95.5 ms
64 bytes from 10.0.0.2: icmp_req=165 ttl=64 time=93.3 ms
64 bytes from 10.0.0.2: icmp_req=166 ttl=64 time=99.2 ms
64 bytes from 10.0.0.2: icmp_req=167 ttl=64 time=97.7 ms
64 bytes from 10.0.0.2: icmp_req=168 ttl=64 time=119 ms
64 bytes from 10.0.0.2: icmp_req=169 ttl=64 time=109 ms
64 bytes from 10.0.0.2: icmp_req=170 ttl=64 time=114 ms
64 bytes from 10.0.0.2: icmp_req=171 ttl=64 time=127 ms
64 bytes from 10.0.0.2: icmp_req=172 ttl=64 time=124 ms
64 bytes from 10.0.0.2: icmp_req=173 ttl=64 time=129 ms
64 bytes from 10.0.0.2: icmp_req=174 ttl=64 time=126 ms
64 bytes from 10.0.0.2: icmp_req=175 ttl=64 time=123 ms
64 bytes from 10.0.0.2: icmp_req=176 ttl=64 time=144 ms
64 bytes from 10.0.0.2: icmp_req=177 ttl=64 time=141 ms
64 bytes from 10.0.0.2: icmp_req=178 ttl=64 time=147 ms
64 bytes from 10.0.0.2: icmp_req=179 ttl=64 time=145 ms
64 bytes from 10.0.0.2: icmp_req=180 ttl=64 time=133 ms
64 bytes from 10.0.0.2: icmp_req=181 ttl=64 time=115 ms
64 bytes from 10.0.0.2: icmp_req=182 ttl=64 time=119 ms
64 bytes from 10.0.0.2: icmp_req=183 ttl=64 time=116 ms
64 bytes from 10.0.0.2: icmp_req=184 ttl=64 time=122 ms
64 bytes from 10.0.0.2: icmp_req=185 ttl=64 time=135 ms
64 bytes from 10.0.0.2: icmp_req=186 ttl=64 time=140 ms
64 bytes from 10.0.0.2: icmp_req=187 ttl=64 time=153 ms
64 bytes from 10.0.0.2: icmp_req=188 ttl=64 time=142 ms
64 bytes from 10.0.0.2: icmp_req=189 ttl=64 time=139 ms
64 bytes from 10.0.0.2: icmp_req=190 ttl=64 time=112 ms
64 bytes from 10.0.0.2: icmp_req=191 ttl=64 time=84.8 ms
64 bytes from 10.0.0.2: icmp_req=192 ttl=64 time=94.8 ms
64 bytes from 10.0.0.2: icmp_req=193 ttl=64 time=108 ms
64 bytes from 10.0.0.2: icmp_req=194 ttl=64 time=122 ms
64 bytes from 10.0.0.2: icmp_req=195 ttl=64 time=135 ms
64 bytes from 10.0.0.2: icmp_req=196 ttl=64 time=138 ms
64 bytes from 10.0.0.2: icmp_req=197 ttl=64 time=135 ms
64 bytes from 10.0.0.2: icmp_req=198 ttl=64 time=149 ms
64 bytes from 10.0.0.2: icmp_req=199 ttl=64 time=154 ms
64 bytes from 10.0.0.2: icmp_req=200 ttl=64 time=140 ms
64 bytes from 10.0.0.2: icmp_req=201 ttl=64 time=145 ms
64 bytes from 10.0.0.2: icmp_req=202 ttl=64 time=118 ms
64 bytes from 10.0.0.2: icmp_req=203 ttl=64 time=131 ms
64 bytes from 10.0.0.2: icmp_req=204 ttl=64 time=136 ms
64 bytes from 10.0.0.2: icmp_req=206 ttl=64 time=154 ms
64 bytes from 10.0.0.2: icmp_req=208 ttl=64 time=149 ms
64 bytes from 10.0.0.2: icmp_req=209 ttl=64 time=116 ms
64 bytes from 10.0.0.2: icmp_req=210 ttl=64 time=96.8 ms
64 bytes from 10.0.0.2: icmp_req=211 ttl=64 time=0.463 ms
64 bytes from 10.0.0.2: icmp_req=212 ttl=64 time=0.467 ms
64 bytes from 10.0.0.2: icmp_req=213 ttl=64 time=0.462 ms
64 bytes from 10.0.0.2: icmp_req=214 ttl=64 time=0.502 ms
64 bytes from 10.0.0.2: icmp_req=215 ttl=64 time=0.477 ms
64 bytes from 10.0.0.2: icmp_req=216 ttl=64 time=0.462 ms
64 bytes from 10.0.0.2: icmp_req=217 ttl=64 time=0.481 ms
64 bytes from 10.0.0.2: icmp_req=218 ttl=64 time=0.460 ms
64 bytes from 10.0.0.2: icmp_req=219 ttl=64 time=0.467 ms
64 bytes from 10.0.0.2: icmp_req=220 ttl=64 time=0.466 ms
64 bytes from 10.0.0.2: icmp_req=221 ttl=64 time=0.464 ms
64 bytes from 10.0.0.2: icmp_req=222 ttl=64 time=0.459 ms
64 bytes from 10.0.0.2: icmp_req=223 ttl=64 time=0.485 ms
64 bytes from 10.0.0.2: icmp_req=224 ttl=64 time=0.488 ms
64 bytes from 10.0.0.2: icmp_req=225 ttl=64 time=0.472 ms
64 bytes from 10.0.0.2: icmp_req=226 ttl=64 time=0.476 ms
64 bytes from 10.0.0.2: icmp_req=227 ttl=64 time=0.469 ms
64 bytes from 10.0.0.2: icmp_req=228 ttl=64 time=0.464 ms
64 bytes from 10.0.0.2: icmp_req=229 ttl=64 time=0.463 ms
64 bytes from 10.0.0.2: icmp_req=230 ttl=64 time=0.466 ms
64 bytes from 10.0.0.2: icmp_req=231 ttl=64 time=0.465 ms
64 bytes from 10.0.0.2: icmp_req=232 ttl=64 time=0.468 ms
64 bytes from 10.0.0.2: icmp_req=233 ttl=64 time=0.460 ms
64 bytes from 10.0.0.2: icmp_req=234 ttl=64 time=0.465 ms
64 bytes from 10.0.0.2: icmp_req=235 ttl=64 time=0.463 ms
64 bytes from 10.0.0.2: icmp_req=236 ttl=64 time=0.463 ms
64 bytes from 10.0.0.2: icmp_req=237 ttl=64 time=0.470 ms
64 bytes from 10.0.0.2: icmp_req=238 ttl=64 time=0.466 ms
64 bytes from 10.0.0.2: icmp_req=239 ttl=64 time=0.464 ms
64 bytes from 10.0.0.2: icmp_req=240 ttl=64 time=0.470 ms
64 bytes from 10.0.0.2: icmp_req=241 ttl=64 time=0.436 ms
64 bytes from 10.0.0.2: icmp_req=242 ttl=64 time=0.467 ms
64 bytes from 10.0.0.2: icmp_req=243 ttl=64 time=0.465 ms
64 bytes from 10.0.0.2: icmp_req=244 ttl=64 time=0.461 ms
64 bytes from 10.0.0.2: icmp_req=245 ttl=64 time=0.471 ms
64 bytes from 10.0.0.2: icmp_req=246 ttl=64 time=0.472 ms
64 bytes from 10.0.0.2: icmp_req=247 ttl=64 time=0.473 ms
64 bytes from 10.0.0.2: icmp_req=248 ttl=64 time=0.463 ms
64 bytes from 10.0.0.2: icmp_req=249 ttl=64 time=0.463 ms
64 bytes from 10.0.0.2: icmp_req=250 ttl=64 time=0.461 ms
64 bytes from 10.0.0.2: icmp_req=251 ttl=64 time=0.522 ms
64 bytes from 10.0.0.2: icmp_req=252 ttl=64 time=0.470 ms
64 bytes from 10.0.0.2: icmp_req=253 ttl=64 time=0.504 ms
64 bytes from 10.0.0.2: icmp_req=254 ttl=64 time=0.461 ms
64 bytes from 10.0.0.2: icmp_req=255 ttl=64 time=0.502 ms
64 bytes from 10.0.0.2: icmp_req=256 ttl=64 time=0.478 ms
64 bytes from 10.0.0.2: icmp_req=257 ttl=64 time=0.472 ms
64 bytes from 10.0.0.2: icmp_req=258 ttl=64 time=0.462 ms
64 bytes from 10.0.0.2: icmp_req=259 ttl=64 time=0.468 ms
64 bytes from 10.0.0.2: icmp_req=260 ttl=64 time=0.467 ms
64 bytes from 10.0.0.2: icmp_req=261 ttl=64 time=0.471 ms
64 bytes from 10.0.0.2: icmp_req=262 ttl=64 time=0.460 ms
64 bytes from 10.0.0.2: icmp_req=263 ttl=64 time=0.455 ms
64 bytes from 10.0.0.2: icmp_req=264 ttl=64 time=0.455 ms
64 bytes from 10.0.0.2: icmp_req=265 ttl=64 time=0.470 ms
64 bytes from 10.0.0.2: icmp_req=266 ttl=64 time=0.358 ms
64 bytes from 10.0.0.2: icmp_req=267 ttl=64 time=0.461 ms
64 bytes from 10.0.0.2: icmp_req=268 ttl=64 time=0.462 ms
64 bytes from 10.0.0.2: icmp_req=269 ttl=64 time=0.462 ms
64 bytes from 10.0.0.2: icmp_req=270 ttl=64 time=0.455 ms
64 bytes from 10.0.0.2: icmp_req=271 ttl=64 time=0.465 ms
64 bytes from 10.0.0.2: icmp_req=272 ttl=64 time=0.474 ms
64 bytes from 10.0.0.2: icmp_req=273 ttl=64 time=0.470 ms
64 bytes from 10.0.0.2: icmp_req=274 ttl=64 time=0.458 ms
64 bytes from 10.0.0.2: icmp_req=275 ttl=64 time=0.476 ms
64 bytes from 10.0.0.2: icmp_req=276 ttl=64 time=0.458 ms
64 bytes from 10.0.0.2: icmp_req=277 ttl=64 time=0.456 ms
64 bytes from 10.0.0.2: icmp_req=278 ttl=64 time=0.461 ms
64 bytes from 10.0.0.2: icmp_req=279 ttl=64 time=0.454 ms
64 bytes from 10.0.0.2: icmp_req=280 ttl=64 time=0.458 ms
64 bytes from 10.0.0.2: icmp_req=281 ttl=64 time=0.468 ms
