PING 10.0.0.2 (10.0.0.2) 56(84) bytes of data.
64 bytes from 10.0.0.2: icmp_req=89 ttl=64 time=451 ms
64 bytes from 10.0.0.2: icmp_req=90 ttl=64 time=448 ms
64 bytes from 10.0.0.2: icmp_req=91 ttl=64 time=454 ms
64 bytes from 10.0.0.2: icmp_req=92 ttl=64 time=459 ms
64 bytes from 10.0.0.2: icmp_req=93 ttl=64 time=456 ms
64 bytes from 10.0.0.2: icmp_req=94 ttl=64 time=461 ms
64 bytes from 10.0.0.2: icmp_req=95 ttl=64 time=459 ms
64 bytes from 10.0.0.2: icmp_req=96 ttl=64 time=456 ms
64 bytes from 10.0.0.2: icmp_req=97 ttl=64 time=469 ms
64 bytes from 10.0.0.2: icmp_req=98 ttl=64 time=466 ms
64 bytes from 10.0.0.2: icmp_req=99 ttl=64 time=471 ms
64 bytes from 10.0.0.2: icmp_req=100 ttl=64 time=469 ms
64 bytes from 10.0.0.2: icmp_req=101 ttl=64 time=473 ms
64 bytes from 10.0.0.2: icmp_req=102 ttl=64 time=479 ms
64 bytes from 10.0.0.2: icmp_req=103 ttl=64 time=476 ms
64 bytes from 10.0.0.2: icmp_req=104 ttl=64 time=472 ms
64 bytes from 10.0.0.2: icmp_req=105 ttl=64 time=477 ms
64 bytes from 10.0.0.2: icmp_req=106 ttl=64 time=482 ms
64 bytes from 10.0.0.2: icmp_req=107 ttl=64 time=487 ms
64 bytes from 10.0.0.2: icmp_req=108 ttl=64 time=484 ms
64 bytes from 10.0.0.2: icmp_req=109 ttl=64 time=481 ms
64 bytes from 10.0.0.2: icmp_req=110 ttl=64 time=486 ms
64 bytes from 10.0.0.2: icmp_req=111 ttl=64 time=493 ms
64 bytes from 10.0.0.2: icmp_req=112 ttl=64 time=393 ms
64 bytes from 10.0.0.2: icmp_req=113 ttl=64 time=292 ms
64 bytes from 10.0.0.2: icmp_req=114 ttl=64 time=192 ms
64 bytes from 10.0.0.2: icmp_req=115 ttl=64 time=93.1 ms
64 bytes from 10.0.0.2: icmp_req=116 ttl=64 time=0.479 ms
64 bytes from 10.0.0.2: icmp_req=117 ttl=64 time=0.477 ms
64 bytes from 10.0.0.2: icmp_req=118 ttl=64 time=0.492 ms
64 bytes from 10.0.0.2: icmp_req=119 ttl=64 time=0.496 ms
64 bytes from 10.0.0.2: icmp_req=120 ttl=64 time=0.500 ms
64 bytes from 10.0.0.2: icmp_req=121 ttl=64 time=0.492 ms
64 bytes from 10.0.0.2: icmp_req=122 ttl=64 time=0.502 ms
64 bytes from 10.0.0.2: icmp_req=123 ttl=64 time=0.494 ms
64 bytes from 10.0.0.2: icmp_req=124 ttl=64 time=0.500 ms
64 bytes from 10.0.0.2: icmp_req=125 ttl=64 time=0.501 ms
64 bytes from 10.0.0.2: icmp_req=126 ttl=64 time=0.494 ms
64 bytes from 10.0.0.2: icmp_req=127 ttl=64 time=0.493 ms
64 bytes from 10.0.0.2: icmp_req=128 ttl=64 time=0.431 ms
64 bytes from 10.0.0.2: icmp_req=129 ttl=64 time=0.485 ms
